Date,Local Route,Light Rail,Peak Service,Rapid Route,School,Other
2019-07-01,15987,9962.0,407.0,21223.0,3715.0,1.0
2019-07-02,16895,10656.0,409.0,21715.0,3993.0,1.0
2019-07-03,16613,10658.0,427.0,22025.0,3638.0,1.0
2019-07-04,16604,10445.0,437.0,21868.0,3576.0,1.0
2019-07-05,16040,10532.0,400.0,20697.0,2856.0,1.0
2019-07-06,5214,6141.0,422.0,6925.0,5332.0,1.0
2019-07-07,4065,4332.0,422.0,5426.0,5332.0,1.0
2019-07-08,13078,9442.0,422.0,18848.0,5332.0,1.0
2019-07-09,13835,10550.0,455.0,19862.0,5332.0,1.0
2019-07-10,13856,10066.0,421.0,19502.0,5332.0,1.0
2019-07-11,12776,9536.0,421.0,19204.0,5332.0,1.0
2019-07-12,12614,9413.0,344.0,18057.0,5332.0,1.0
2019-07-13,4606,5185.0,370.0,6327.0,5332.0,2.0
2019-07-14,3584,3486.0,370.0,4761.0,5332.0,3.0
2019-07-15,12743,9704.0,370.0,19481.0,5332.0,2.0
2019-07-16,14025,10434.0,421.0,20592.0,5332.0,1.0
2019-07-17,13768,10689.0,428.0,20550.0,5332.0,1.0
2019-07-18,14092,10938.0,396.0,20989.0,5332.0,1.0
2019-07-19,13846,11150.0,325.0,20012.0,5332.0,1.0
2019-07-20,5057,6692.0,440.0,7379.0,5332.0,1.0
2019-07-21,4045,4739.0,440.0,6000.0,5332.0,1.0
2019-07-22,18376,11664.0,440.0,24147.0,5332.0,1.0
2019-07-23,19392,12180.0,461.0,25344.0,5935.0,1.0
2019-07-24,19380,12044.0,463.0,25312.0,5786.0,1.0
2019-07-25,19619,12257.0,432.0,25284.0,5845.0,2.0
2019-07-26,18698,12296.0,298.0,24258.0,5634.0,2.0
2019-07-27,5383,6522.0,408.0,8231.0,5962.0,1.0
2019-07-28,4187,4398.0,408.0,5751.0,5962.0,3.0
2019-07-29,18743,11530.0,408.0,24273.0,5962.0,13.0
2019-07-30,19887,12553.0,457.0,25617.0,5765.0,15.0
2019-07-31,19599,12447.0,478.0,25342.0,5736.0,1.0
2019-08-01,19950,12601.0,459.0,25864.0,5754.0,1.0
2019-08-02,18953,12744.0,340.0,25010.0,5738.0,13.0
2019-08-03,5447,7090.0,453.0,7922.0,5978.0,13.0
2019-08-04,3792,4595.0,453.0,6009.0,5978.0,13.0
2019-08-05,18527,11891.0,453.0,24856.0,5978.0,13.0
2019-08-06,19528,12403.0,474.0,26649.0,5947.0,13.0
2019-08-07,19435,12306.0,414.0,26179.0,5776.0,13.0
2019-08-08,17055,11668.0,450.0,23975.0,2072.0,13.0
2019-08-09,16883,10790.0,375.0,23007.0,5284.0,14.0
2019-08-10,4836,5422.0,470.0,7219.0,5823.0,1.0
2019-08-11,3707,3943.0,470.0,5770.0,5823.0,1.0
2019-08-12,18699,11379.0,470.0,24549.0,5823.0,1.0
2019-08-13,19097,12372.0,468.0,26757.0,5716.0,1.0
2019-08-14,18996,12111.0,477.0,26214.0,5567.0,1.0
2019-08-15,19383,12433.0,423.0,26122.0,5532.0,1.0
2019-08-16,18703,12607.0,346.0,25086.0,5447.0,1.0
2019-08-17,5506,6583.0,461.0,7922.0,5646.0,1.0
2019-08-18,3691,4355.0,461.0,5976.0,5646.0,1.0
2019-08-19,18332,11412.0,461.0,24242.0,5646.0,1.0
2019-08-20,19431,12269.0,479.0,26158.0,5835.0,1.0
2019-08-21,19447,12102.0,472.0,26048.0,5656.0,1.0
2019-08-22,18831,12491.0,439.0,26140.0,5497.0,1.0
2019-08-23,18614,12644.0,384.0,25079.0,5224.0,2.0
2019-08-24,5439,6396.0,403.0,8283.0,5465.0,2.0
2019-08-25,3955,4411.0,403.0,6228.0,5465.0,2.0
2019-08-26,18395,11678.0,403.0,24636.0,5465.0,1.0
2019-08-27,18837,12065.0,450.0,25778.0,5460.0,1.0
2019-08-28,19485,12217.0,492.0,26363.0,5358.0,1.0
2019-08-29,19565,12286.0,427.0,25376.0,5492.0,1.0
2019-08-30,18595,12416.0,363.0,24492.0,5150.0,1.0
2019-08-31,5683,6736.0,417.0,9225.0,2.0,1.0
2019-09-01,3761,4682.0,417.0,5936.0,5830.0,1.0
2019-09-02,18055,10993.0,417.0,23455.0,5830.0,1.0
2019-09-03,18655,11206.0,473.0,24236.0,5993.0,1.0
2019-09-04,18691,11263.0,464.0,24375.0,5600.0,1.0
2019-09-05,18911,11382.0,451.0,24641.0,5685.0,2.0
2019-09-06,17771,11162.0,364.0,22459.0,5421.0,2.0
2019-09-07,4965,6261.0,458.0,7801.0,5813.0,2.0
2019-09-08,3782,4743.0,458.0,5886.0,5813.0,2.0
2019-09-09,17892,10847.0,458.0,22891.0,5813.0,2.0
2019-09-10,18814,11527.0,498.0,24134.0,5922.0,2.0
2019-09-11,18887,11664.0,446.0,24581.0,5779.0,2.0
2019-09-12,18465,11622.0,438.0,24108.0,5712.0,14.0
2019-09-13,18071,12974.0,336.0,23475.0,5376.0,14.0
2019-09-14,5306,7540.0,496.0,8618.0,4.0,14.0
2019-09-15,3921,5051.0,496.0,6608.0,5790.0,14.0
2019-09-16,18179,11701.0,496.0,24422.0,5790.0,4.0
2019-09-17,18169,11827.0,484.0,25470.0,5711.0,4.0
2019-09-18,19573,12757.0,419.0,26092.0,5731.0,4.0
2019-09-19,19547,12707.0,458.0,26165.0,5745.0,4.0
2019-09-20,20009,14789.0,403.0,27732.0,5099.0,4.0
2019-09-21,4555,5740.0,469.0,7260.0,5626.0,4.0
2019-09-22,4126,5234.0,469.0,7066.0,5626.0,4.0
2019-09-23,18224,11833.0,469.0,24440.0,5626.0,4.0
2019-09-24,19105,12898.0,479.0,25750.0,5437.0,4.0
2019-09-25,18838,12958.0,453.0,25717.0,5360.0,4.0
2019-09-26,19068,12320.0,455.0,25835.0,5310.0,4.0
2019-09-27,18492,13384.0,329.0,25249.0,4745.0,4.0
2019-09-28,3638,7256.0,414.0,9799.0,5797.0,4.0
2019-09-29,2781,5347.0,414.0,7669.0,5797.0,3.0
2019-09-30,14148,11666.0,414.0,22670.0,5797.0,1.0
2019-10-01,15028,12441.0,421.0,24365.0,5797.0,1.0
2019-10-02,15001,12534.0,458.0,24050.0,5797.0,1.0
2019-10-03,15089,12660.0,426.0,24221.0,5797.0,1.0
2019-10-04,14021,12060.0,313.0,23197.0,5797.0,2.0
2019-10-05,3494,6942.0,417.0,9031.0,5797.0,2.0
2019-10-06,2992,5583.0,417.0,7530.0,5797.0,2.0
2019-10-07,2870,5069.0,417.0,6956.0,5797.0,2.0
2019-10-08,13860,10799.0,417.0,22073.0,5797.0,1.0
2019-10-09,14754,12048.0,434.0,23526.0,5797.0,1.0
2019-10-10,14887,11849.0,389.0,23700.0,5797.0,1.0
2019-10-11,14293,12071.0,285.0,22457.0,5797.0,1.0
2019-10-12,3631,6629.0,410.0,9204.0,5797.0,1.0
2019-10-13,2943,4965.0,410.0,7552.0,5797.0,1.0
2019-10-14,18081,11873.0,410.0,24562.0,5797.0,1.0
2019-10-15,19198,12750.0,456.0,25968.0,6037.0,1.0
2019-10-16,19025,12516.0,435.0,26062.0,5862.0,1.0
2019-10-17,19049,12391.0,417.0,25990.0,5640.0,1.0
2019-10-18,18448,12685.0,370.0,25368.0,5421.0,1.0
2019-10-19,3857,6066.0,428.0,8963.0,5698.0,6.0
2019-10-20,3046,4849.0,428.0,7014.0,5698.0,6.0
2019-10-21,18176,11790.0,428.0,24814.0,5698.0,44.0
2019-10-22,18951,12425.0,464.0,25925.0,5661.0,44.0
2019-10-23,18895,12716.0,467.0,26133.0,5445.0,44.0
2019-10-24,19204,12628.0,450.0,26299.0,5688.0,44.0
2019-10-25,18034,12547.0,327.0,24658.0,5082.0,44.0
2019-10-26,3731,6849.0,436.0,8449.0,5704.0,102.0
2019-10-28,17730,11484.0,436.0,24233.0,5704.0,1.0
2019-10-29,18619,12012.0,461.0,24841.0,5947.0,1.0
2019-10-30,18782,11736.0,451.0,25038.0,5822.0,1.0
2019-10-31,19023,12231.0,424.0,24632.0,5652.0,1.0
2019-11-01,18179,12743.0,337.0,24242.0,5251.0,1.0
2019-11-02,3898,6625.0,452.0,9358.0,5833.0,3.0
2019-11-03,2642,3748.0,452.0,5713.0,5833.0,1.0
2019-11-04,18178,11601.0,452.0,24231.0,5833.0,1.0
2019-11-05,18877,12355.0,468.0,24998.0,5752.0,1.0
2019-11-06,18955,12275.0,470.0,25228.0,5665.0,1.0
2019-11-07,18777,12046.0,473.0,24991.0,5639.0,1.0
2019-11-08,17838,11925.0,372.0,24095.0,5345.0,1.0
2019-11-09,3905,6565.0,468.0,9388.0,5602.0,1.0
2019-11-10,2744,4584.0,468.0,6673.0,5602.0,1.0
2019-11-11,17964,11548.0,468.0,24134.0,5602.0,3.0
2019-11-12,18612,12023.0,481.0,24790.0,5741.0,10.0
2019-11-13,18610,12106.0,461.0,25270.0,5744.0,9.0
2019-11-14,19081,12298.0,462.0,25207.0,5569.0,1.0
2019-11-15,18462,12418.0,370.0,24410.0,5472.0,1.0
2019-11-16,4063,6734.0,422.0,9130.0,5681.0,1.0
2019-11-17,2914,4519.0,422.0,6777.0,5681.0,1.0
2019-11-18,17675,11307.0,422.0,23598.0,5681.0,1.0
2019-11-19,18567,11812.0,491.0,24402.0,5733.0,1.0
2019-11-20,18444,11645.0,476.0,24190.0,5700.0,1.0
2019-11-21,18011,11230.0,438.0,23009.0,5362.0,1.0
